1d وان‌دی
car کار
card کارد
care کِر
career کریِر
cargo کارگو
carl کارل
cartel کارتل
carter کارتر
cartoon کارتون
case کیس
cash کش
casio کاسیو
caspian کاسپین
cat کت
categorize کَتِگورایز
category کتگوری
cd سی‌دی
cebit سبیت
celebrity سلبریتی
celebrity سلبریتی
cent سنت
centimeter سانتی‌متر
cents سنتس
certify سِرتیفای
change چِینج
characterize کَرَکتِرایز
chat چت
check چک
check چک
checkin چکین
checklist چِکلیست
cheshmaye چشمای
chip چیپ
chocolate چاکلت
choose چُوز
chopin شوپن
chris کریس
christina کریستینا
christmas کریسمس
chuck چاک
cigar سیگار
cigarette سیگارت
cinema سینما
cisco سیسکو
city سیتی
city سیتی
clan کلن
clans کلنز
clarify کِلریفای
clash کلش
class کلاس
classify کْلَسیفای
claud کلاود
clean کلین
client کلاینت
client کلایِنت
climate کِلایمت
clinton کلینتون
clip کلیپ
clock کلاک
close کلوز
cloud کلاود
clue کلو
cnn سی‌ان‌ان
coach کوچ
coca کوکا
cocacola کوکاکولا
code کُد
code کُد
coffee کافی
coffeeshop کافی‌شاپ
cohen کوهن
cola کولا
cold کلد
collaborate کُلَبورِیت
colleague کالیگ
collin کالین
collins کالینز
colombia کلمبیا
color کالر
columbia کلمبیا
combat کمبت
combine کُمباین
comedy کمدی
comfort کُمفورت
command کُمَند
comment کامنت
comment کُمِنت
commercial کامرشال
commit کامیت
commitment کُمِتمنت
communicate کُمونیکیت
community کامیونیتی
company کمپانی
comparison کمپاریسون
compel کُمپِل
compile کُمپایل
complete کُمپلیت
complex کمپلکس
component کمپوننت
comprehend کُمپرهِند
compress کُمپرِس
compute کُمپیوت
computer کامپیوتر
conceal کُنسِیل
concept کانسپت
concept کُنسِپت
concern کُنسِرن
concert کنسرت
conclude کُِنکْلُود
conclusion کانکلوزن
confidence کانفیدنس
confirm کُنفِرم
connect کُِنکت
connection کانکشن
consequence کانسیکوئنس
consider کُنسیدِر
console کنسول
consume کُنسِیوم
contact کانتکت
contain کُنتِین
content کانتِنت
context کانتِکست
continuous کانتینیوس
contract کُنتْرَکت
contrast کانترست
contribute کُنتریبیوت
control کنترل
control کُنتْرول
convert کانورت
convert کُنوِرت
cookie کوکی
cooler کولر
coordinate کُردینیت
copper کاپر
copperfield کاپرفیلد
copy کُپی
core کور
corel کرل
correct کُرِکت
cost کاست
count کانت
counter کانتر
counter کُنتِر
couple کاپل
coupon کوپن
course کورس
course کورس
cover کاور
cover کاور
cpu سی‌پی‌یو
crash کرش
crash کرش
create کریِت
create کریِیت
credit کردیت
crisis کرایسیس
critique کِرتیک
crush کراش
crystal کریستال
culture کالچر
cup کاپ
currency کرنسی
customer کاستومر
customize کَستومایز
cycle سایکل
dad داد
daesh داعش
dafatan دفعتاً
daghighan دقیقاً
dam دم
damage دمیج
dana دانا
daqiqan دقیقاً
daram دارم
dard درد
darde درد
dare داره
dareh داره
daruoosh داریوش
data داِتَا
data دیتا
database دیتابیس
david دیوید
day دی
deadline ددلاین
deal دیل
debate دِبِیت
debate دیبِیت
decade دکید
decide دِساید
decision دسیژن
declare دِکلر
decor دکور
decrease دیکریز
define دِفاین
define دِفاین
delegate دِلگِیت
delete دِلِیت
deliver دِلیوِر
delivery دلیوری
delux دلوکس
delvapasam دلواپسم
demand دیمند
demo دِمو
demonstrate دِمُنسْتِریت
density دِنسی‌تی
department دیپارتمنت
depend دِپِند
depend دیپِند
deploy دِپْلوی
deploy دپلو
deposit دپوزیت
depth دپت
describe دِسکرایب
description دسکریپشن
design دیزاین
design دیزاین
desire دِزیِر
destination دِستینیشن
detail دِتیِل
detail دی‌تیل
detect دِتکت
determine دِترمِین
develop دیوِلوپ
developer دولوپر
device دِوایس
device دیوایس
diagnose دایِگنُوز
dido دایدو
differ دِفِر
differentiate دِفِرنشیِیت
digikala دیجی‌کالا
digital دیجیتال
dimension دیمِنشن
dip دیپ
direct دایرکت
direct دایِرکت
directory دایرکتوری
disc دیسک
discuss دِسکاس
discuss دیسکاس
display دِسْپْلی
dispose دِسْپُوز
distance دیستنس
distribute دِستْریبیوت
distribute دیستربیوت
diversify دِیْورسِفای
diy دی‌آی‌وای
dj دی‌جی
doa دعا
doc داک
docker داکر
doctor دکتر
doctora دکترا
document داکیومنت
document دُکْیومِنت
dog داگ
dom دم
domain دُومین
donate دُنیِیت
donation دونِیشن
donyam دنیام
dor دور
dot دات
dotamoon دوتامون
down داون
download دانلود
download داونْلُد
dracula دراکولا
draft درفت
draft دْرَفت
drama دراما
duff داف
dumbledore دامبلدور
duplicate دْرَفلیکِیت
dvd دی‌وی‌دی
dvd دی‌وی‌دی
dylan دیلان
dynamic داینامیک
earn اَرن
easy ایزی
eat ایت
ebc ای‌بی‌سی
echo اکو
eco اکو
edit اِدِیت
edit اِدیت
editor ادیتور
education ادیوکِیشن
effect اِفکت
efficient اِفیشنت
effort اِفرت
ejalatan اجالتاً
elaborate اِلَبورِیت
elahi الهی
elect الکت
electric الکتریک
element الِمنت
elevate اِلوِیت
eliminate اِلیمنیِیت
elle ال
elvis الویس
emadi عمادی
email ایمیل
embrace اَمبرِیس
emerge اِمرج
emergency اِمرجِنسی
eminem امینم
emotion ایموشن
emphasize اِمفِسایز
enable اِنِیبل
enable اِنیبل
encounter اینکانتر
encourage اِنکُرِج
engage اِنگیِیج
engine انجین
engineer اِنْجِنیِیر
enhance اِنْهَنس
enhance اینهَنس
enjoy اِنجوی
enrique انریکه
enroll اِنْرول
ensure اِشور
ensure اینشور
enter اِنْتِر
enter اینتر
entertain انترتین
environment انوایرونمنت
episode اپیزود
equation ایکوِیشن
eric اریک
error اِرور
escape اِسکِیپ
esrar اصرار
establish اِسْتَبلِیش
esteda استدعا
estimate اِسْتیمِیت
etelaat اطلاعات
ettelaat اطلاعات
euro یورو
evaluate اِوَلوِیت
event ایونت
evidence اویدنس
exact اِگَکت
examine اِگزَمِن
exceed اِکسِید
excel اکسل
exchange اکسچِنج
exclude اکسکلود
execute اِکزیکیوت
exercise اِکزِرسایز
exhibit اِکزِهِبیت
exhibit اکسِهبیت
exist اِگزیست
expand اِکسپَند
expand اکسپند
expect اِکسپِکت
expect اکسپکت
explain اِکسپْلِین
explore اِکسپْلُور
express اِکسپْرِس
extend اِکسْتِند
extract اِکسْتْرکت
face فیس
facilitate فَسیلیِتِیت
fact فکت
fardaye فردای
fasele فاصله
fashion فَشِن
fax فاکس
fbi اف‌بی‌آی
feature فیچِر
ferdows فردوس
ferdowsi فردوسی
file فایِل
filter فیلتِر
finalize فاینَلایز
finance فاینَنس
focus فُکِس
follow فالو
follower فالور
foran فوراً
force فورس
forecast فورکست
formulate فورمولِیت
found فَوند
fox فاکس
fps اف‌پی‌اس
france فرانسه
francisco فرانسیسکو
freddy فردی
free فیری
friend فرند
fringe فرینج
fuck فاک
fucker فاکر
fulfill فولفیل
fun فان
function فانکشِن
gadget گجت
gaga گاگا
game گیم
gamer گیمر
garcia گارسیا
generate جِنِرِیت
george جورج
gereye گره
gf جی‌اف
ghalb قلب
gham غم
ghannad قناد
ghannadi قنادی
ghatan قطعاً
ghatel قاتل
ghater قاطر
ghavam قوام
ghayeb غایب
gholam غلام
gholamali غلام‌علی
gholamreza غلام‌رضا
ghuran قرآن
gigabyte گیگابایت
gipsy جیپسی
girlfriend گرل‌فرند
github گیتهاب
good گود
google گوگل
govern گُوِرن
gps جی‌پی‌اس
gpu جی‌پی‌یو
grade گرید
graduate گْرَدیِیت
grant گْرَنت
green گرین
group گروپ
gucci گوچی
guide گایِد
guitar گیتار
hacker هکر
hafez حافظ
hafte هفته
haghighatan حقیقتاً
hajipoor حاجی‌پور
hajipour حاجی‌پور
hajipur حاجی‌پور
halal حلال
halam حالم
hallal حلال
halva حلوا
hamburger همبرگر
hame همه
haqiqatan حقیقتاً
hasab حسب
hasabe حسب
hasanzade حسن‌زاده
hasanzadeh حسن‌زاده
hat هت
hatm حتم
hatman حتماً
havalie حوالی
head هد
headphone هدفون
headphones هدفون
headset هدست
hediye هدیه
heeva هیوا
helicopter هلیکوپتر
hex هگز
hi های
hifi های‌فای
high های
highlight هایلایت
hire هایِر
hiv اچ‌آی‌وی
hiva هیوا
hobbit هابیت
hojjatoleslam حجت‌الاسلام
holiday هالیدی
holly هالی
hoori حوری
hosseinzade حسین‌زاده
hosseinzadeh حسین‌زاده
hp اچ‌پی
htm اچ‌تی‌ام
huawei هواوی
hub هاب
hybrid هیبرید
hyper هایپر
ibm آی‌بی‌ام
ice آیس
identify آیدِنتیفای
illustrate اِلِستِریت
image ایمیج
implement ایمپِلِمِنت
imply ایمپلای
import ایمپورت
improve ایمپروو
include اینکلود
incorporate اِنْکورپریت
increase اِنکریس
indicate ایندیکیت
inform اینفُرم
initiate اینیِیشِیت
innovate اینُوِیت
inspect اِنْسپکت
install اِنْستال
integrate اینتِگْرِیت
intend اِنْتِند
interpret اِنترپِرت
interview اینتِرویو
invest اِنْوست
investigate اِنْوستِگِیت
invite اینوایت
involve اینوُلو
ios آی‌اواس
ios آی‌او‌اس
iphone آیفون
isa عیسی
isaac ایساک
israel اسرائیل
issue ایشو
istanbul استانبول
its ایتس
jac جک
jack جک
jackson جکسون
jadidan جدیداً
james جیمز
jane جین
javan جوان
javanan جوانان
jaleb جالب
jennifer جنیفر
jesaaratan جسارتاً
jesaratan جسارتاً
john جان
johnny جانی
joseph ژوزف
json جیسون
judge جاج
just جاست
justify جَستِفای
justin جاستین
kaffash کفاش
kah کاه
kamal کمال
kamelan کاملاً
kamva کاموا
kashef کاشف
kashtand کاشتند
katy کیتی
kaveh کاوه
kaya کایا
kenaram کنارم
ketchup کچاپ
key کی
keyboard کیبرد
khalse خلسه
khamesan خامساً
khaneye خانه
kharat خراط
kharatha خراطها
kharideham خریده ام
kharrat خراط
kharratha خراطها
khiali خیالی
khiyalet خیالت
khoda خدا
kid کید
kilobyte کیلوبایت
kiss کیس
kobra کبری
kohne کهنه
kollan کلاً
kombat کمبت
kon کن
konin کنین
kooche کوچه
kosan کوسن
kuche کوچه
lady لیدی
lara لارا
launch لُنش
lead لید
learn لِرن
led ال‌ای‌دی
level لول
lexus لکسوس
license لایسِنس
like لایک
lincoln لینکولن
link لینک
linux لینوکس
live لایو
lms ال‌ام‌اس
load لود
loader لودر
loading لودینگ
log لاگ
london لندن
lopez لوپز
loser لوزر
lost لاست
lotfan لطفا
love لاو
lover لاور
lucy لوسی
lux لوکس
mac مک
macbook مک‌بوک
macdonald مک‌دونالد
machine ماشین
madonna مدونا
mage مگه
maintain مِینتِین
maman مامان
mamoor مأمور
mamour مأمور
mamur مأمور
manage مَنِج
manipulate مَنِپیولت
maree مرئی
mario ماریو
markez مارکز
mavi ماوی
max ماکس
maximize مَکسِمِیز
mcdonald مک‌دونالد
measure مِژِر
mediate مِدیِیت
meen مین
meena مینا
megabyte مگابایت
mentor مِنتُر
mercedes مرسدس
merci مرسی
mercury مرکوری
merge مِرج
michael مایکل
michell میشل
michigan میشیگان
micro میکرو
microscope میکروسکوپ
microsoft مایکروسافت
miley مایلی
min مین
mina مینا
mind مایند
mishe میشه
mix میکس
mobile موبایل
modify مادِفای
mojtaba مجتبی
mojtabaa مجتبی
money مانی
monica مونیکا
monitor مانیتر
moosa موسی
mortal مورتال
mortaza مرتضی
morteza مرتضی
moscow مسکو
moshk مشک
mostafa مصطفی
motalee مطالعه
mother مادر
motherboard مادربرد
motivate مُتیویت
mouse ماوس
movie مووی
mozzart موتزات
msn ام‌اس‌ان
muggle ماگل
musa موسی
music موزیک
mvp ام‌وی‌پی
na نه
naghes ناقص
naghez ناقض
nancy نانسی
naqes ناقص
naqez ناقض
narafigh نارفیق
narafiq نارفیق
nashe نشه
nav ناو
navaei نوایی
navi ناوی
navigate نَوِیگیت
nazem ناظم
negotiate نِگُشیِیت
neon نئون
nesbatan نسبتاً
new نیو
news نیوز
nft ان‌اف‌تی
nicki نیکی
nima نیما
nimeye نیمه
nimeyeh نیمه
nostalgia نوستالژی
nostalgic نوستالژیک
notify نوتیفای
nozari نظری
nvr ان‌وی‌آر
o و
observe آبزِرو
obtain آبْتِین
odd اد
off آف
offer آفر
official آفیشال
offline آفلاین
ok اوکی
okay اوکی
omg او‌ام‌جی
on آن
online آنلاین
open اوپن
operate اُپِرِیت
option آپشن
order اوردر
organize اُرْگنایز
original اورجینال
originate اُرِجینِیت
oscar اسکار
ozra عذرا
page پیج
pahlan پهلان
pakistan پاکستان
pandvash پندوش
parkway پارک‌وی
participate پَرْتیسیپِیت
pasho پاشو
paya پایا
paye پای
pc پی‌سی
pdf پی‌دی‌اف
perceive پِرسیو
perform پِرفُرم
performance پرفورمنس
perry پری
persia پرشیا
persian پرشین
persist پِرسِست
persuade پِرسوِید
pesto پستو
pgn پی‌جی‌ان
pharrel فرل
photograph فوتُگراف
photoshop فتوشاپ
php پی‌اچ‌پی
pizza پیتزا
plan پلن
plan پْلَن
plastic پلاستیک
play پلی
playstation پلی‌استیشن
police پلیس
polytechnic پلی‌تکنیک
porsche پورشه
position پوزیشن
position پُزیشِن
possess پِسِس
potter پاتر
power پاور
powerpoint پاورپوینت
prepare پِرپیر
prescribe پْرِسکْرایب
present پْرِزِنت
preserve پْرِزِرو
presley پرسلی
prevent پْرِوِنت
pride پراید
prince پرنس
princess پرنسس
private پرایوت
process پْرُسِس
procure پْرُکیوْر
produce پْرِدیوس
promote پْرِمُوت
propose پْرِپُوز
protect پْرُتکت
provide پْرُواید
public پابلیک
publish پْبْلیش
pursue پْرْسیو
puzzle پازل
pv پی‌وی
python پایتون
qannad قناد
qannadi قنادی
qatel قاتل
qater قاطر
qavam قوام
qayeb غایب
qolam غلام
qolamali غلام‌علی
qolamreza غلام‌رضا
qualify کْوالِیفای
quantify کْوَنتیفای
quote کُوت
quran قرآن
rabean رابعاً
rahele راحله
raheleh راحله
rank رنک
realize رِیِلایز
rebecca ربکا
receive رسیو
receive رِسیو
receiver رسیور
recognize رِکنایز
recommend رِکِمِند
record رِکُرد
record رکورد
recover رِکاوِر
reflect رِفلِکت
refuse رِفیوز
register رِجیستِر
regulate رِگیوْلِیت
reinforce رِیْنفُرس
relate رِلیِیت
release رِلیس
rely رِلی
remix ریمیکس
remove رِموْو
render رِندِر
renovate رِنُویت
repair رِپیر
replace رِپلیس
report رِپُرت
represent رِپْری زِنت
request رِکوِست
research ری سِرچ
reset ریست
resolve رِزالْو
respond رِسپُند
restore رِستور
restrict رِستریکت
retain رِتِین
reveal رِویِل
review رِویو
revise رِوایز
reward رِوارد
rex رکس
rice رایس
rihanna ریحانا
rock راک
roham رهام
rohham رهام
route روت
roya رویا
saber صابر
sabet ثابت
saeed سعید
sahab سحاب
salam سلام
salame سلام
sales ثالث
salesan ثالثاً
salha سال‌ها
samera سامرا
sandis ساندیس
sanian ثانیاً
sara سارا
sarah سارا
sareean سریعاً
sarian سریعاً
satar ستار
satisfy سَتِسفای
sattar ستار
save سیو
schedule سْکِجول
screen اسکرین
screenshot اسکرین‌شات
secure سِکیور
select سِلِکت
selena سلنا
send سند
separate سِپِرِیت
sepidari سپیداری
sequence سِکوْنس
setar ستاره
settle سِتِل
sex سکس
sexy سکسی
shadidan شدیداً
shahd شهد
shaker شاکر
shakerdoost شاکردوست
shakerdoust شاکردوست
shakerdust شاکردوست
shakeri شاکری
shakerian شاکریان
shakespeare شیکسپیر
shakira شکیرا
shamaeizade شماعی‌زاده
shamaeizadeh شماعی‌زاده
sho شو
shojaan شجاعان
shop شاپ
sia سیا
sima سیما
simulate سیمیولِیت
snap اسنپ
snapp اسنپ
soal سؤال
social سوشال
soghra صغری
solve سالْو
soqra صغری
sos سس
soundtrack ساندترک
source سورس
speaker اسپیکر
spears اسپیرز
specify سْپِسیفای
sponsor سْپُنسِر
spread سْپِرِد
stalin استالین
standard استاندارد
standardize سْتَندِرْدایز
stanislaw استانیسلاو
star استار
steel استیل
sting استینگ
structure سْتْرکچِر
style استیل
submit سَبمِت
suck ساک
sucker ساکر
suggest سَجِست
summarize سَمِرایز
sundis ساندیس
sunich سان‌ایچ
supervise سْپِروایز
support ساپورت
support سَپُرت
sustain سَستِین
swift سویفت
synthesize سِنثِسایز
tab تب
tadrijan تدریجاً
taghriban تقریباً
tahghighan تحقیقاً
tahqian تحقیقاً
taleb طالب
talebzade طالب‌زاده
talebzadeh طالب‌زاده
tap تپ
taqriban تقریباً
target تَرجِت
tasamoh تسامح
tax تکس
taxi تاکسی
taylor تیلور
technician تکنیسین
techno تکنو
telephone تلفن
telephony تلفنی
telescope تلسکوپ
terabyte ترابایت
terminate تِرمینِیت
test تِست
texas تگزاس
thom تام
ticket تیکت
timberlake تیمبرلیک
tokyo توکیو
tolkien تالکین
top تاپ
touch تاچ
touchpad تاچپد
trace تْرِیس
track تْرَک
transfer تْرَنسفِر
transform تْرَنسفُرْم
translate تْرَنسلِیت
transmit تْرَنسْمِیت
transport تْرَنسپُرت
treat تریت
trump ترامپ
trust تْراست
turkey ترکیه
tweet تویت
type تایپ
unify یُونِفای
unix یونیکس
up آپ
update آپدِیت
upgrade آپْگِرِید
ups یو‌پی‌اس
usb یو‌اس‌بی
user یوزر
utilize یوتیلایز
vaghe'an واقعاً
vaghean واقعاً
vala والا
valentine ولنتاین
validate وَلیدِیت
value وَلْیو
vaqe'an واقعاً
vaqean واقعاً
vay وای
verify وِریفای
vibe وایب
viber وایبر
vibes وایبز
video ویدیو
view ویو
viguen ویگن
violin ویولون
vip وی‌آی‌پی
visit وِزِت
visual ویژوال
visualize وِژوِلایز
voa وی‌او‌ای
voice وویس
vpn وی‌پی‌ان
vps وی‌پی‌اس
war وار
wars وارز
water واتر
wax واکس
web وب
webcam وب‌کم
weblog وبلاگ
wifi وای‌فای
william ویلیام
williams ویلیامز
windows ویندوز
winston وینستون
wire وایر
wireless وایرلس
withdraw ویدرُو
word ورد
xamarin زامارین
xantia زانتیا
xml ایکس‌ام‌ال
xp اکس‌پی
xyz ایکس‌وای‌زی
yahya یحیی
ye یه
yellow یلو
you یو
youtube یوتوب
zaheran ظاهراً
zahra زهرا
zombie زامبی
zorro زورو
